cnpj,empresa,setor,cidade,regiao,capital_social,investimento_inicial,anos_atividade,data_abertura,lat,lon
36.180.210/0001-81,Empresa 9951 LTDA,Alimentação,Canaã dos Carajás,Sudeste,9330.89,4513.85,9,2017-04-06,-6.634138006080976,-53.393396319042274
43.207.443/0001-44,Empresa 4866 LTDA,Tecnologia,Breves,Marajó,537195.16,451778.68,1,2025-04-06,-3.3673315945776894,-48.71861951963669
34.152.721/0001-80,Empresa 1830 LTDA,Vestuário,Castanhal,Nordeste,89649.17,77274.99,2,2024-04-06,-3.040097468038386,-47.64173495227758
60.703.923/0001-64,Empresa 2192 LTDA,Logística,Breves,Marajó,2281492.95,1320311.63,8,2018-04-06,-2.8281057373226766,-54.20935100877151
72.822.939/0001-79,Empresa 3865 LTDA,Vestuário,Parauapebas,Sudeste,154821.0,56570.33,13,2013-04-06,-8.97662997712431,-51.45817557690016
77.221.338/0001-46,Empresa 2559 LTDA,Vestuário,Santarém,Oeste,198738.87,62801.36,16,2010-04-06,-0.09254840518278762,-46.671667419234964
70.369.276/0001-68,Empresa 8003 LTDA,Vestuário,Ananindeua,Metropolitana,100112.88,52084.03,10,2016-04-06,-1.38927340948051,-48.41075285671848
49.257.435/0001-22,Empresa 1575 LTDA,Tecnologia,Abaetetuba,Nordeste,951073.87,433295.41,12,2014-04-06,-6.919035443354636,-47.388655562969376
92.612.522/0001-29,Empresa 8857 LTDA,Logística,Ananindeua,Metropolitana,568173.72,269422.47,8,2018-04-06,-1.4869418541967574,-48.46502677508568
19.447.220/0001-25,Empresa 8527 LTDA,Tecnologia,Benevides,Metropolitana,201427.72,114041.6,4,2022-04-06,-1.4234788618267051,-48.36684855259278
28.480.534/0001-20,Empresa 3488 LTDA,Tecnologia,Breves,Marajó,1795527.39,487283.49,19,2007-04-06,-0.2439321225316622,-53.9299677657074
76.246.895/0001-59,Empresa 6423 LTDA,Tecnologia,Benevides,Metropolitana,535809.62,309480.36,6,2020-04-06,-1.459506514424402,-48.45195996350597
